%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
         270.       16.3000       4.43252       192.173       23.1741        7.5169        6.8490       10.0955      0.000000      0.000000     0.0000026      0.000001     0.0000000 
         273.       16.5000       4.43343       192.243       23.2661        7.5135        6.8467       10.0955      0.000000      0.000000     0.0000019      0.000000     0.0000000 
         277.       16.7000       4.43441       192.312       23.3567        7.5102        6.8444       10.0955      0.000000      0.000000     0.0000014      0.000000     0.0000000 
         280.       16.9000       4.43547       192.380       23.4459        7.5070        6.8423       10.0955      0.000000      0.000000     0.0000010      0.000000     0.0000000 
         283.       17.1000       4.43662       192.447       23.5337        7.5040        6.8403       10.0955      0.000000      0.000000     0.0000007      0.000000     0.0000000 
         287.       17.3000       4.43783       192.514       23.6202        7.5010        6.8383       10.0955      0.000000      0.000000     0.0000005      0.000000     0.0000000 
         290.       17.5000       4.43911       192.580       23.7053        7.4982        6.8365       10.0955      0.000000      0.000000     0.0000003      0.000000     0.0000000 
         293.       17.7000       4.44047       192.645       23.7892        7.4955        6.8348       10.0955      0.000000      0.000000     0.0000002      0.000000     0.0000000 
         297.       17.9000       4.44189       192.709       23.8719        7.4929        6.8331       10.0955      0.000000      0.000000     0.0000002      0.000000     0.0000000 
         300.       18.1000       4.44337       192.773       23.9534        7.4903        6.8316       10.0955      0.000000      0.000000     0.0000001      0.000000     0.0000000 
         303.       18.3000       4.44491       192.836       24.0335        7.4879        6.8301       10.0955      0.000000      0.000000     0.0000001      0.000000     0.0000000 
         307.       18.5000       4.44651       192.898       24.1125        7.4856        6.8288       10.0955      0.000000      0.000000     0.0000001      0.000000     0.0000000 
         310.       18.7000       4.44816       192.960       24.1904        7.4834        6.8275       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         313.       18.9000       4.44987       193.021       24.2671        7.4812        6.8263       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         317.       19.1000       4.45162       193.081       24.3427        7.4792        6.8252       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         320.       19.3000       4.45342       193.140       24.4172        7.4772        6.8241       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         323.       19.5000       4.45527       193.199       24.4906        7.4753        6.8232       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         327.       19.7000       4.45715       193.258       24.5629        7.4736        6.8223       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         330.       19.9000       4.45908       193.315       24.6343        7.4718        6.8214       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         333.       20.1000       4.46105       193.372       24.7045        7.4702        6.8207       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         337.       20.3000       4.46305       193.429       24.7738        7.4687        6.8200       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         340.       20.5000       4.46509       193.485       24.8422        7.4672        6.8194       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         343.       20.7000       4.46716       193.540       24.9094        7.4658        6.8188       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         347.       20.9000       4.46927       193.595       24.9759        7.4645        6.8183       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         350.       21.1000       4.47140       193.649       25.0413        7.4632        6.8179       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         353.       21.3000       4.47357       193.702       25.1058        7.4621        6.8175       10.0150      0.000000      0.000000     0.0000000      0.000000     0.0000000 
