%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb       
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]      
%
         260.        3.9755       5.00811       185.729       12.6018        8.1409        7.4719       10.4241      0.000000      0.000000     0.0000000      1.000000 
         263.        4.1027       4.98171       185.829       12.7976        8.1283        7.4563       10.4241      0.000000      0.000000     0.0000000      1.000000 
         267.        4.2337       4.95583       185.931       12.9961        8.1155        7.4407       10.4241      0.000000      0.000000     0.0000000      1.000000 
         270.        4.3685       4.93049       186.034       13.1966        8.1024        7.4249       10.4241      0.000000      0.000000     0.0000000      1.000000 
         273.        4.5082       4.90579       186.139       13.4001        8.0891        7.4089       10.4241      0.000000      0.000000     0.0000000      1.000000 
         277.        4.6520       4.88162       186.246       13.6059        8.0756        7.3929       10.4241      0.000000      0.000000     0.0000000      1.000000 
         280.        4.7999       4.85801       186.355       13.8135        8.0619        7.3768       10.4241      0.000000      0.000000     0.0000000      1.000000 
         283.        4.9531       4.83505       186.466       14.0241        8.0480        7.3606       10.4241      0.000000      0.000000     0.0000000      1.000000 
         287.        5.1107       4.81265       186.579       14.2367        8.0339        7.3443       10.4241      0.000000      0.000000     0.0000000      1.000000 
         290.        5.2729       4.79081       186.693       14.4515        8.0196        7.3279       10.4241      0.000000      0.000000     0.0000000      1.000000 
         293.        5.4408       4.76964       186.810       14.6686        8.0052        7.3116       10.4241      0.000000      0.000000     0.0000000      1.000000 
         297.        5.6135       4.74905       186.928       14.8877        7.9906        7.2952       10.4241      0.000000      0.000000     0.0000000      1.000000 
         300.        5.7911       4.72903       187.049       15.1088        7.9758        7.2787       10.4241      0.000000      0.000000     0.0000000      1.000000 
         303.        5.9750       4.70971       187.171       15.3320        7.9609        7.2624       10.4241      0.000000      0.000000     0.0000000      1.000000 
         307.        6.1640       4.69098       187.296       15.5571        7.9459        7.2460       10.4241      0.000000      0.000000     0.0000000      1.000000 
         310.        6.3584       4.67283       187.422       15.7836        7.9308        7.2297       10.4241      0.000000      0.000000     0.0000000      1.000000 
